runtime_minutes,voltage_V,capacity_percent
0.0,0.000,22.2
1.0,3.379,24.6
2.0,3.379,24.6
3.0,3.378,24.5
4.0,3.375,24.2
5.0,3.372,23.7
6.0,3.372,23.7
7.0,3.375,24.1
8.0,3.374,24.0
9.0,3.373,23.9
10.0,3.372,23.7
11.0,3.368,23.3
12.0,3.369,23.4
13.0,3.366,23.0
14.0,3.364,22.8
15.0,3.361,22.3
16.0,3.358,22.1
17.0,3.356,21.7
18.0,3.353,21.6
19.0,3.349,21.3
20.0,3.346,21.0
21.0,3.343,20.8
22.0,3.341,20.5
23.0,3.336,20.1
24.0,3.331,19.7
25.0,3.330,19.5
26.0,3.325,19.2
27.0,3.323,19.0
28.0,3.315,18.7
29.0,3.312,18.1
30.0,3.312,18.1
31.0,3.304,17.5
32.0,3.300,17.1
33.0,3.292,16.4
34.0,3.289,16.2
35.0,3.288,16.1
36.0,3.284,15.9
37.0,3.281,15.7
38.0,3.273,15.2
39.0,3.272,15.1
40.0,3.266,14.8
41.0,3.259,14.4
42.0,3.257,14.2
43.0,3.249,13.8
44.0,3.243,13.3
45.0,3.230,12.8
46.0,3.232,12.9
47.0,3.225,12.5
48.0,3.215,12.1
49.0,3.209,11.9
50.0,3.202,11.5
51.0,3.191,11.1
52.0,3.181,10.7
53.0,3.177,10.5
54.0,3.167,10.2
55.0,3.155,9.9
56.0,3.147,9.7
57.0,3.137,9.4
58.0,3.128,9.2
59.0,3.115,8.9
60.0,3.102,8.6
61.0,3.087,8.3
62.0,3.077,8.0
63.0,3.069,7.8
64.0,3.057,7.5
